"","inj","fatig","x1","x2","z1","z2","m1","m2"
"1",2,1,-2.42694637242425,-0.0700690573148185,0.838220354318878,-1.07983646699856,3.5803208063423,0.117390646755519
"2",4,1,1.72337156185564,-0.810333553305135,0.236937494482199,-0.000261649402542983,-1.30203877290381,-0.698238713618361
"3",1,1,-0.875569216734997,0.841367984417917,0.463601838083785,-0.205640632511394,0.277244686156856,-0.763181193732915
"4",2,0,0.889969036048871,0.404439590773772,1.83716901412889,-0.0824287256061178,0.288204317390175,1.9535888372419
"5",1,0,1.09510845595167,-2.37019250225041,1.1064937824968,0.492895390504575,-1.47399583226259,-1.18128486906688
"6",1,1,-0.667745918200625,-0.178160435185622,0.923845379456469,1.671236563242,-0.183724184741359,-0.463094125821762
"7",2,1,-0.0858198740622974,0.306994935114875,1.16272257778384,0.835340925349174,-0.637412894011914,-0.785492313288239
"8",2,1,-0.845551772031102,0.28965735821619,0.525258193011551,-0.293565676386494,-0.652631793384503,0.053187172281117
"9",2,1,0.0228533455771699,-2.21961624777909,-0.0844517578268036,0.169341371824943,1.14010420037993,0.332622262593377
"10",3,1,-0.567748880112354,-0.0888178385344619,0.746465143649034,-1.27891171607223,-1.91488583986966,0.340791008577647
"11",4,1,-1.881005504802,-1.3790297192025,-0.467058539802275,-1.83209655955145,-0.381316020462664,0.829389988087343
"12",2,1,-0.389068151769648,-0.581150821403194,0.381846785838988,0.244566412660481,0.878726411380608,2.72148194829338
"13",1,1,0.880497165357932,0.966518188651042,0.941179293028178,-1.48385591895842,-0.258085003314001,1.45320180891779
"14",2,1,-0.383590460573771,0.264193233896675,0.230053880279956,-1.1393260514604,-0.148401355933181,0.552384335698398
"15",1,1,-0.289699598690123,0.668476433844181,0.495329240050863,0.83530123344918,-0.175076119182472,-0.310619241174008
"16",2,1,1.3210524930123,-0.132199227022785,-0.69144100393313,0.00695623060730423,-0.328428872434277,-1.36506283183296
"17",1,1,-0.429467827632777,1.2259373516642,0.592764231857295,-0.257329260653268,0.615890176449133,-0.0223203677789381
"18",3,0,0.0473671902372584,0.202138933259143,-1.32415529237634,1.68035311088091,0.901831776776,0.0497489445112573
"19",2,0,-0.778348930179834,0.793359771781187,1.04917541949405,0.165597146106683,-0.985432308120504,-1.69245965688174
"20",2,1,1.24727165643271,-1.38558114087186,-0.481058491090698,-1.33172486264492,1.30719751261694,-0.815556647998383
"21",4,0,-0.197875453557745,0.523323968397491,0.415572710445444,0.152888152601842,-0.185171011779055,2.6937516564516
"22",3,1,-0.0874605815213358,0.228018589033413,-0.362110452225147,-0.728993444632845,0.833214014043786,-0.0739399045496235
"23",2,1,0.566900571285517,-1.30395963983285,1.44561358525386,-1.68593125232654,-0.146048815018625,-0.0699952129226935
"24",1,0,-1.64939743739553,1.04621644837937,-1.51077225155123,-0.328581060065232,-0.181243658705869,0.405003957650586
"25",1,1,-1.10190481719289,0.766358312709357,-0.993800255608379,0.497590373779607,0.122622933440012,0.276608323284683
"26",3,1,-0.850499367195578,0.131756845832919,0.988083892438425,-0.501739656568157,-2.20013586811578,2.59184593988418
"27",2,1,0.0328267438923625,-0.0681572693495036,0.73768388037345,1.35087106760727,1.76593885225858,0.149186940943991
"28",2,1,0.859632737973924,-0.299465242374298,0.496425191694126,0.743389708469675,-1.54018318801824,-0.951029357846596
"29",2,1,-0.999000042577395,-1.02569586186173,1.0983949991704,1.62085008522409,-0.930805358718407,-0.352982780533396
"30",1,1,-0.0364755198545768,-0.293825965175419,1.84395527374104,-0.382300913616501,-1.09947123161824,0.192081457081716
"31",4,0,0.225866030125787,-0.0252751307575296,-0.742826461598995,0.351789826764758,0.543401092051745,0.395644886324659
"32",2,1,0.883752828001695,-1.42898039723008,-1.28025253870935,-1.33754274475434,-0.388303193535556,0.484115861894463
"33",4,0,1.15216974871951,-0.767896684137821,-1.35617343295448,0.568649992486595,-1.019517266272,-0.557083888479644
"34",3,1,-0.966124182769543,-1.33842941234677,1.13408139699779,0.131673789796946,-0.570969795489932,1.25207041827404
"35",1,1,-0.657643732604803,-0.601274928717094,-0.00699881541447032,2.23412917424737,-1.13662092639466,-1.46685382662945
"36",2,0,-0.167686565276515,-0.994638896840207,-0.451317629133045,0.27285539151049,-1.0486271870097,-0.0576168483458011
"37",4,1,-0.147237123459294,-1.48452764194898,-0.145324319702324,0.24184975619276,-1.9621350308213,0.253863831816528
"38",2,1,1.4419422320524,1.15991433305845,-0.564261070926285,-0.671258714505174,0.0723798492278171,-1.36746898112122
"39",3,0,0.124259322455567,-0.0529898243987032,-1.54752418548295,-0.868364516495958,-0.270042189949149,0.993227277379281
"40",4,0,0.914723026400939,1.17264386269848,0.491516103272381,3.1431426543754,-1.05564023460213,1.12830416946999
"41",1,0,-0.856174545934231,1.51231080578243,-0.584041221684037,1.8881084029687,-0.444332388103833,0.425667055108212
"42",1,1,-0.551880695787078,-0.234612460673887,-0.455919717405519,-1.05479494736031,-1.1006563609675,-0.764982180435485
"43",3,0,0.123324247092757,0.483297329081692,0.390241726455795,0.73134531646939,0.0894552876423691,-0.666645019269564
"44",2,1,-1.14032003765052,-0.91123375491153,0.0357925031401794,0.544879155081912,0.454834299384272,0.226653648793386
"45",4,1,0.687186514941707,-1.12357977143714,0.156669556432845,0.814693262406845,0.496281974131188,0.265224454757528
